IDEvento;DSEvento
318;AUT PESQ/RELATÓRIO PESQUISA NÃO APROVADO ART 30 II CM PUBL
319;AUT PESQ/RELATÓRIO PESQUISA ARQUIVADO ART 30 III CM PUBL
320;AUT PESQ/RELATÓRIO PESQUISA SOBRESTADO ART 30 IV CM PUBL
321;AUT PESQ/ALVARÁ DE PESQUISA 01 ANO PUBL
322;AUT PESQ/ALVARÁ DE PESQUISA 02 ANOS PUBL
323;AUT PESQ/ALVARÁ DE PESQUISA 03 ANOS PUBL
324;AUT PESQ/PRORROGAÇÃO PRAZO ALVARÁ-01 ANO PUBL
325;AUT PESQ/PRORROGAÇÃO PRAZO ALVARÁ-02 ANOS PUBL
326;AUT PESQ/PRORROGAÇÃO PRAZO ALVARÁ-03 ANOS PUBL
327;AUT PESQ/DESPACHO RETIFICAÇÃO ALVARÁ PESQUISA PUBL
328;DISPONIB/ÁREA DISPONIVEL ART 26 CM PUBL
329;DISPONIB/ÁREA DISP LAVRA ART 26 CM PUBL
330;DIR REQ LAV/TRANSF DIREITOS-CESSÃO TOTAL DIR REQ LAV PROTOC
331;REQ LAV/TRANSF DIREITOS -CESSÃO TOTAL DIR REQ LAV APROV PUBL
332;REQ LAV/TRANSF DIREITOS -CESSÃO TOTAL DIR REQ LAV EFETIVADA
333;REQ PLG/REQUERIMENTO LAVRA GARIMPEIRA PROTOC
334;REQ PLG/INDEFERIMENTO DE PLANO PUBL
335;REQ PLG/INDEFERIMENTO REQUERIMENTO PLG PUBL
336;REQ LAV/DOCUMENTO DIVERSO PROTOC
337;REQ PLG/INDEFERIMENTO DE PLANO ART 1 LEI 6567/78 PUBL
338;REQ LAV/TRANSF DIREITOS -CESSÃO TOTAL DIR REQ LAV NEG PUBL
339;PLG/INCORPORAÇÃO/CESSÃO EFETIVADA
340;REQ LAV/INTERDIÇÃO DA LAVRA APLICADA
341;REQ PLG/MEMORIAL DESCRITIVO PLG P/EVENTUAL CONTESTAÇÃO PUBL
342;REQ PLG/CONTESTAÇÃO COOPERATIVA PROTOC
343;MANIF JAZ/MANIFESTO DE JAZIDA REGISTRADO
344;REQ PLG/EXIGÊNCIA PUBL
345;REQ PLG/PRORROGAÇÃO PRAZO EXIGÊNCIA PROTOC
346;REQ PLG/PRORROGAÇÃO PRAZO EXIGÊNCIA CONCEDIDA PUBL
347;REQ PLG/PRORROGAÇÃO PRAZO EXIGÊNCIA NEGADA PUBL
348;REQ PLG/CUMPRIMENTO EXIGÊNCIA PROTOC
349;AUT PESQ/PRORROGAÇÃO PRAZO REQ LAVRA- 01 ANO PUBL
350;REQ LAV/REQUERIMENTO LAVRA PROTOC
351;REQ LAV/DESISTÊNCIA REQUERIMENTO LAVRA PROTOC
352;REQ LAV/DESISTÊNCIA REQUERIMENTO LAVRA HOMOLOGADA PUBL
353;REQ PLG/PEDIDO RECONSIDERAÇÃO PROTOC
354;REQ PLG/PEDIDO RECONSIDERAÇÃO PROVIDO PUBL
355;REQ LAV/INDENIZAÇÃO AO PESQUISADOR NEGADA PUBL
356;REQ LAV/DESPACHO DIVERSO PUBL
357;DISPONIB/TORNA S/EFEITO DISPO ART 26 CM PUBL
358;DISPONIB/EDITAL DISPONIB ART 26 CM SEM PRETENDENTE PUBL
359;DISPONIB/INDEF HABILIT EDITAL DISPONIB ART 26 CM PUBL
360;DISPONIB/RECURSO PROTOC
361;REQ LAV/EXIGÊNCIA PUBL
362;REQ LAV/PRORROGAÇÃO PRAZO EXIGÊNCIA PROTOC
363;REQ LAV/PRORROGAÇÃO PRAZO EXIGÊNCIA NEGADA PUBL
364;REQ LAV/PRORROGAÇÃO PRAZO EXIGÊNCIA CONCEDIDA PUBL
365;REQ LAV/CUMPRIMENTO EXIGÊNCIA PROTOC
366;REQ LAV/EXIGÊNCIA REITERAÇÃO PUBL
367;REQ PLG/PEDIDO RECONSIDERAÇÃO NEGADO PUBL
368;REQ PLG/TORNA S/EFEITO RECONSIDERAÇÃO INDEFERIMENTO PUBL
369;DISPONIB/RECURSO NEGADO-SUPERINTENDENTE PUBL
370;REQ LAV/DENÚNCIA CONTRA REQUENTE DA LAVRA PROTOC
371;REQ LAV/DENUNC CONTRA REQ LAVRA PROCEDEN PUBL
372;REQ LAV/DENUNC CONTRA REQ LAVRA IMPROCED PUBL
373;REQ LAV/ASSENTIMENTO CDN SOLICITAÇÃO PROTOC
374;REQ LAV/ASSENTIMENTO FUNAI SOLICITADO
375;REQ LAV/ASSENTIMENTO ORGAOS DIVERSOS SOLICITADO
376;REQ LAV/ASSENTIMENTO MARINHA SOLICITADO
377;REQ LAV/ASSENTIMENTO CDN AUTORIZADO
378;REQ LAV/ASSENTIMENTO FUNAI AUTORIZADO
379;REQ LAV/ASSENTIMENTO MARINHA AUTORIZAD
380;REQ LAV/ASSENTIMENTO ORGÃOS DIVERSOS AUTORIZ
381;REQ LAV/ASSENTIMENTO CDN NEGADO
382;REQ LAV/ASSENTIMENTO FUNAI NÃO AUTORIZAD
383;REQ LAV/ASSENTIMENTO MARINHA NÃO AUTORIZ
384;REQ LAV/ASSENTIMENTO ORGÃOS DIVERSOS NÃO AUTORIZ
385;REQ LAV/ÁREA BLOQUEADA ART 42 CM PUBL
386;DISPONIB/RECURSO PROVIDO-SUPERINTENDENTE PUBL
387;REQ PLG/ANUÊNCIA CESSÃO APROVADA PUBL
388;REQ PLG/INDEFERIMENTO DE PLANO ART 9° IN 5/2000 PUBL
389;REQ LAV/TORNA S/EFEITO CADUCIDADE DIR REQ LAV PUBL
390;REQ LAV/INDEFERIMENTO REQUERIMENTO LAVRA MME PUBL
391;REQ LAV/PEDIDO RECONSIDERAÇÃO PROTOC
392;REQ LAV/PEDIDO RECONSIDERAÇÃO PROVIDO PUBL
393;REQ LAV/PEDIDO RECONSIDERAÇÃO NEGADO PUBL
394;REQ LAV/RECURSO AO MINISTRO PROTOC
395;REQ LAV/RECURSO AO MINISTRO NEGADO PUBL
396;REQ LAV/RECURSO AO MINISTRO PROVIDO PUBL
397;REQ LAV/CONVITE PAG TAXA PORT LAVRA PUBL
398;REQ LAV/COMPROV PAG TAXA PORT LAVRA PROTOC
399;REQ LAV/DECLARA CADUCO DIREITO REQUERER LAVRA PUBL
400;CONC LAV/PORTARIA CONCESSÃO DE LAVRA MME PUBL
401;CONC LAV/PRORROGAÇÃO INÍCIO LAVRA SOLICITAÇÃO PROTOC
402;CONC LAV/PRORROGAÇÃO INÍCIO LAVRA AUTORIZADA PUBL
403;CONC LAV/IMISSÃO DE POSSE REQUERIMENTO PROTOC
