DSProcesso;DSProcessoAssociado;IDTipoAssociacao;DTAssociacao;DTDesassociacao;OBAssociacao
300.216/2014;826.990/2014;8;2014-12-09;;*
300.217/2018;815.573/2024;8;2024-12-10;;*
300.217/2022;848.343/2024;8;2024-12-09;;*
300.219/2019;861.250/2021;8;2021-08-27;;*
300.219/2020;831.965/2021;8;2021-08-26;;*
300.220/2010;826.646/2011;8;2011-09-02;;*
300.220/2020;832.091/2021;8;2021-08-31;;*
300.221/2010;826.603/2010;8;2010-10-08;;*
300.223/2014;861.323/2015;8;2015-11-11;;*
300.223/2018;872.228/2024;8;2024-12-09;;*
300.223/2018;872.232/2024;8;2024-12-09;;*
300.223/2019;848.332/2022;8;2022-10-18;;*
300.224/2013;811.192/2014;8;2014-09-23;;*
300.224/2013;811.193/2014;8;2014-09-23;;*
300.224/2013;811.194/2014;8;2014-09-23;;*
300.225/2018;820.696/2024;8;2024-11-18;;*
300.226/2014;861.324/2015;8;2015-11-11;;*
300.227/2013;811.137/2014;8;2014-09-11;;*
300.228/2009;846.356/2012;8;2012-07-16;;*
300.229/2009;846.199/2011;8;2011-04-26;;*
300.229/2021;832.258/2024;8;2024-11-18;;*
300.232/2012;815.418/2022;8;2022-10-14;;*
300.234/2012;848.256/2022;8;2022-10-07;;*
300.234/2019;832.715/2024;8;2024-12-12;;*
300.235/2020;832.527/2024;8;2024-12-04;;*
300.236/2012;848.188/2021;8;2021-08-20;;*
300.236/2013;815.583/2016;8;2016-08-04;;*
300.236/2014;831.603/2018;8;2018-09-06;;*
300.237/2013;815.584/2016;8;2016-08-04;;*
300.238/2012;815.368/2022;8;2022-10-10;;*
300.238/2016;871.686/2022;8;2022-10-13;;*
300.238/2018;820.054/2021;8;2021-02-03;;*
300.239/2013;896.381/2014;8;2014-08-05;;*
300.240/2016;826.818/2016;8;2016-11-28;;*
300.241/2011;815.482/2003;8;2011-03-24;;*
300.243/2010;832.196/2016;8;2016-09-20;;*
300.243/2012;815.387/2024;8;2024-11-18;;*
300.243/2013;861.322/2015;8;2015-11-11;;*
300.244/2018;871.910/2024;8;2024-11-14;;*
300.245/2012;871.624/2014;8;2014-09-24;;*
300.245/2013;850.250/2016;8;2016-04-22;;*
300.245/2019;831.388/2021;8;2021-06-21;;*
300.246/2011;826.350/2012;8;2012-05-17;;*
300.246/2018;820.778/2024;8;2024-12-03;;*
300.247/2011;826.351/2012;8;2012-05-17;;*
300.247/2016;826.552/2021;8;2021-08-30;;*
300.251/2021;826.727/2024;8;2024-12-11;;*
300.252/2012;826.218/2014;8;2014-03-18;;*
300.255/2017;820.457/2022;8;2022-09-29;;*
300.255/2018;866.743/2021;8;2021-06-14;;*
300.256/2010;826.311/2011;8;2011-05-18;;*
300.256/2017;820.482/2022;8;2022-10-11;;*
300.257/2019;832.892/2021;8;2021-12-13;;*
300.258/2010;873.210/2011;8;2011-08-15;;*
300.260/2014;820.848/2016;8;2016-11-23;;*
300.260/2018;815.007/2021;8;2021-02-22;;*
300.262/2017;861.298/2021;8;2021-08-31;;*
300.262/2018;830.992/2021;8;2021-06-08;;*
300.263/2010;815.430/2014;8;2014-07-29;;*
300.263/2018;830.993/2021;8;2021-06-08;;*
300.264/2014;815.535/2024;8;2024-12-05;;*
300.264/2016;868.265/2016;8;2016-06-30;;*
300.264/2018;832.773/2021;8;2021-11-29;;*
300.266/2017;820.046/2021;8;2021-02-02;;*
300.266/2018;872.055/2024;8;2024-11-28;;*
300.267/2011;826.256/2012;8;2012-04-23;;*
300.267/2012;832.646/2013;8;2013-08-30;;*
300.267/2013;826.036/2014;8;2014-01-15;;*
300.267/2018;832.769/2021;8;2021-11-29;;*
300.268/2012;832.645/2013;8;2013-08-30;;*
300.268/2019;832.772/2021;8;2021-11-29;;*
300.269/2017;806.176/2022;8;2022-10-10;;*
300.270/2017;846.332/2024;8;2024-11-19;;*
300.270/2019;832.706/2021;8;2021-11-25;;*
300.270/2019;832.707/2021;8;2021-11-25;;*
300.270/2019;832.708/2021;8;2021-11-25;;*
300.270/2019;832.709/2021;8;2021-11-25;;*
300.270/2019;832.710/2021;8;2021-11-25;;*
300.270/2019;832.712/2021;8;2021-11-25;;*
300.270/2019;832.713/2021;8;2021-11-25;;*
300.270/2019;832.714/2021;8;2021-11-25;;*
300.271/2011;826.255/2012;8;2012-04-23;;*
300.271/2014;800.656/2015;8;2015-10-28;;*
300.271/2016;820.053/2021;8;2021-02-03;;*
300.272/2011;826.254/2012;8;2012-04-23;;*
300.272/2012;800.933/2012;8;2012-11-09;;*
300.272/2016;820.493/2022;8;2022-10-14;;*
300.274/2010;848.473/2010;8;2010-10-19;;*
300.274/2011;826.127/2012;8;2012-03-02;;*
300.275/2010;815.589/2016;8;2016-08-04;;*
300.276/2011;811.522/2015;8;2015-10-28;;*
300.278/2010;848.471/2010;8;2010-10-19;;*
300.279/2013;896.354/2014;8;2014-08-01;;*
300.279/2018;815.013/2021;8;2021-02-22;;*
300.279/2019;800.224/2025;8;2025-05-20;;*
300.281/2017;820.500/2022;8;2022-10-14;;*
300.283/2010;820.337/2023;8;2023-05-11;;*
300.283/2019;864.639/2021;8;2021-11-24;;*
300.284/2010;846.589/2011;8;2011-10-19;;*
300.284/2016;896.219/2022;8;2022-10-17;;*
300.284/2019;864.640/2021;8;2021-11-24;;*
