DSProcesso;IDCondicaoPropriedadeSolo
800.003/2014;3
800.003/2015;3
800.003/2017;3
800.003/2018;3
800.003/2019;3
800.003/2020;3
800.003/2021;3
800.003/2022;3
800.003/2023;3
800.003/2024;3
800.003/2025;3
800.003/2026;3
800.004/2001;5
800.004/2002;3
800.004/2003;5
800.004/2004;3
800.004/2005;3
800.004/2006;3
800.004/2007;3
800.004/2008;5
800.004/2009;3
800.004/2010;3
800.004/2011;3
800.004/2012;3
800.004/2013;3
800.004/2014;3
800.004/2015;5
800.004/2016;3
800.004/2017;3
800.004/2018;3
800.004/2019;5
800.004/2020;3
800.004/2021;3
800.004/2022;3
800.004/2023;3
800.004/2024;3
800.004/2025;3
800.004/2026;3
800.005/2001;3
800.005/2002;3
800.005/2003;3
800.005/2004;3
800.005/2005;5
800.005/2006;3
800.005/2007;5
800.005/2008;3
800.005/2009;3
800.005/2010;3
800.005/2011;5
800.005/2012;3
800.005/2013;3
800.005/2014;3
800.005/2015;3
800.005/2016;3
